nodeid	txt
652	因为之前的商家很可能知道我要投诉，故意不接你们电话拖延时间的
653	我不和你说其他的 既然你说不给退就不给退  麻烦你提供工商信息 我去咨询消协
654	还有我的投诉举报什么时候能解决
655	如果确实侵权了我就去起诉
656	我投诉
657	明天在投诉，睡觉了
658	升级投诉
659	给我个投诉电话吧
660	我要打12345投诉你们平台
661	那我只能打12315投诉了
662	你们这样欺诈我只有在12315投诉了
663	投诉你们宣传不真实
664	你们处理我换不了洗马潭索票的方法不能接受，想找你们上一级领导投诉
665	那我要跟12315投诉了
666	我要投诉我买的这个订单商家
667	我要去打12315投诉你们
668	投诉有用吗
669	不然投诉
670	这两个电话我打到想投诉
671	投诉 河南这个公司
672	我马上12315，市长热线，旅游局告你们
673	你们携程哪里可以投诉到
674	那我怎么投诉你们
675	她既然不怕，那我就投诉到底
676	解决了就完了 越拖时间越长 不解决我就投诉
677	快点让你们领导现在来解决问题
678	投诉你们
679	那我投诉你们公司
680	我真的会投诉
681	反正到时不下架我就拿截图举报
682	不同 你们留个电话，我明天直接打电话来投诉
683	我要去消协投诉你们
684	那我投诉
685	升级处理？那我还得跟你们一直折腾
686	已经好几天了都没有回复我
687	你好我的儿童预订票问题还是没有解决啊
688	看下上面的问题，还是没解决
689	他们不处理。
690	问题没有解决 还认为消费者是傻子？
691	怎么处理
692	尽快给个解决方案
693	打过几次电话都没解决
694	迪士尼21号对外宣布闭园。你们携程怎么过了四天都没有得到迪士尼回复。
695	当时我在滴滴上，时间很紧，问携程服务人员导航地址对不对，她就是不给一个确定的回答，要不然就是干脆不回复。到最后还说地址不对！
696	你能不能解决
697	为什么还没消息呀
698	时间都托了一个下午
699	什么时候能有答复
700	我只是在补充证据，没指望你们解决
701	电脑提不了吗
702	今天不解决明天就比较麻烦了
703	没看到有学习
704	抓紧处理一个小时我要解决完
705	昨天说处理也没处理
706	你不能帮我解决么
707	而且没人解决
708	一直没人回复
709	问8个客服，没有一个解决好的
710	订单问题没有解决
711	不用一直给我电话，有解决方案再给我电话
712	给我个解决方案
713	请问什么时候回复我呢
714	一个多月了，你们都没处理
715	点不了
716	昨天的富力海洋水世界门票问题你还没给我解决
717	给我解决
718	怎么还没回复啊
719	还没处理好
720	我要的是解决
721	提交不了，这个问题算解决了呢还是没有完全解决？
722	还没有回复
723	就是在您们网站下的订单这点问题都不解决
724	什么时候能给我回复啊
725	好，那你先给我解决
726	我退的怎么还没处理
727	六点前不解决你就给我退差价吧[尴尬][尴尬]
728	这个问题有这么难解决吗
729	能不能给解决呢？这个票是骗人的
730	就解决这个问题[调皮]
731	这个一个问题 处理多久了
732	团的订单，到了门口告诉我目前疫情没有导游了，让我正常入园，然后加了我微信线下退我钱，然后告诉我1-2个工作日退给我微信，目前过去一周了，打电话也不接
733	现在问题还是没解决
734	客户有问题，解决不了，就让客户退单
735	一直没有回复
736	我们都验票了 才看到拦起来不让进了
737	三星堆门口扫身份证，进不去
738	进不去甘孜
739	是的，这边出不了票，进不去
740	我们使用的团购进不去
741	取不了
742	疫情呀，都进不去
743	因为没法预约就进不去啊
744	现在查不到信息了，怎么办
745	你在看看。没人管了，票买完。玩不了
746	现在野生动物园不让进
747	身份证进不去
748	进不去博物馆
749	我们都到了 进不去
750	人不让进，这是你们的问题
751	我现在在门口进不去
752	今天不让进
753	我这个门票只进了2张，有2个人没有核酸检测报告。进不去
754	现在不让进了
755	今天雨雪天气进不了景区 商家同意全额退款
756	取完了。不让进。有*码。在景点联系你们给退的
757	说我使用了 可是你们今天大门我都进不去
758	为什么连接进不去
759	进了两次都不让进
760	套票景区不让用
761	有两张玉龙雪山的索道票，现在突然被定义为中风险地区，不让进
762	现在山陕甘会馆门票也进不去
763	园区不让进
764	我现在一家人在这里等着就我们两人没进去了
765	我买了2月13号的成人票，但为什么查不到信息
766	嗯嗯！我进不去！两位儿童是用户口本订的！
767	我进不去现在
768	不让进，说完提前激活，预约
769	景区无法使用，无法取出票来。
770	没有票我也进不去
771	我现在进不去园区要退票
772	你好，因为上海的疫情原因，我的迪士尼门票无法使用了
773	我进不了园区
774	我现在门口进都进不了
775	也进不去
776	就是收不到二维码，没法进入[捂脸]
777	没有核酸 园区不让进
778	我忘记带身份证了进不去
779	没核酸进不去
780	说限流不让进
781	那现在情况是我们进不去大门了，门口堵的太严重了
782	她的行程码有星号，且核酸超过了四天，工作人员让我们退票，不让进
783	进不去啊
784	我就想不明白了，我都进不去
785	刷身份证进不去
786	对吧
787	好的 民宿都定好了
788	您好 世界公园开放到几点
789	租车显示的是4驱 现在订单确认了 说二驱？
790	不是说1秒出票嘛，但是还没有出票
791	价格很香[笑哭]
792	一个1.4米。1个不到
793	我购买了峨眉山上行金顶索道票，不是可以支持2天用的吗，为啥显示只能今天用呢
794	电孑
795	[语音消息]对我就是想问这个，这个怎么加价是怎么想。
796	我驾驶证和身份证更改过来，怎么修改？
797	两个车行都是同样的问题
798	感谢你
799	除了目前除了核算没有其他的防疫政策吧
800	哪些门票需要自理？
801	云上草原滑雪
802	4个人出发两个房间有没有退差价的
803	我跟我爸爸
804	都有啥区别呀？
805	我和我老婆全价，我儿子6岁，是半价吗？
806	18号到的话 没有滑雪票可以进云上草原别的地方吗
807	英国签证可以吗？
808	机场拿车
809	多买一份怎么退
810	普莫雍错不是要边防证吗
811	那陪同人员在里面干什么
812	抢到了可以免费对吧
813	你好，蜈支洲3岁身高一米按半价收费吗
814	我是说要到你联系方式
815	是几号嘞
816	这段时间都没有对吗
817	没有出长沙
818	明天几点去都可以吧
819	🙏谢谢
820	家属拿身份证去取车就可以是吗？
821	能顺便帮我问一下有手机支架吗
822	我就在南京上班
823	这个产品包含的酒店是中铁花水湾酒店哇？
824	你好，去班公湖吗
825	我会和其他人拼房吗
826	乌鲁木齐出发
827	谢谢您了
828	分开买
829	然后呢！
830	我们带小孩，会不会算超载？
831	我不清楚海南这边洗车多少钱
832	白云机场t1可以接机吗
833	meiyoudea
834	行李托运是免费吗
835	过年1你们都营业吧？
